dt,날짜,target,target_max15,target_max15_trapz,is_clone,is_off,is_stop,is_corrupt,is_prod_missing,train_ok,train_ok_strict,hour,dow,is_weekend,is_holiday,after_off,off_run_prev,days_since_off,shift,is_transition,month,prod,prod_cap,prod_log,prod_zero,day_prod,day_prod_zero,day_prod_hours,prod_prev,prod_next,prod_diff,hol_op,hol_prod,hol_day_prod,cool,temp,humid,thi,wind,rain,lag24,lag168,lag336,lag_week_mean4,lag_prev_op,prev_day_mean,prev_day_max,last_week_day_mean,last_week_day_max,ym,fold,y,p,err,abs_err,peak
2021-05-05 00:00:00,20210505,65,67,69.5,False,False,False,False,False,True,True,0,3,0,1,0,0.0,3.0,0,0,5,103,103,4.6443908991413725,0,2190,0,8,,4.0,,1,103,2190,0.0,16.4,98,61.48127999999999,2.2,15.2,65.0,61.0,58.0,51.0,65.0,130.70833333333334,173.0,121.54166666666667,167.0,2021-05,2021-05,65,62.19935036236391,2.8006496376360914,2.8006496376360914,False
2021-05-05 01:00:00,20210505,105,111,108.0,False,False,False,False,False,True,True,1,3,0,1,0,0.0,3.0,0,0,5,4,4,1.6094379124341003,0,2190,0,8,103.0,363.0,-99.0,1,4,2190,0.0,17.1,98,62.72742,5.2,3.0,108.0,100.0,99.0,78.25,108.0,130.70833333333334,173.0,121.54166666666667,167.0,2021-05,2021-05,105,106.8731234084719,-1.8731234084718977,1.8731234084718977,False
2021-05-05 02:00:00,20210505,110,115,114.5,False,False,False,False,False,True,True,2,3,0,1,0,0.0,3.0,0,0,5,363,363,5.8971538676367405,0,2190,0,8,4.0,41.0,359.0,1,363,2190,0.0,17.8,98,63.97356,3.1,3.4,116.0,102.0,101.0,80.0,116.0,130.70833333333334,173.0,121.54166666666667,167.0,2021-05,2021-05,110,105.2011854303117,4.798814569688304,4.798814569688304,False
2021-05-05 03:00:00,20210505,103,110,110.0,False,False,False,False,False,True,True,3,3,0,1,0,0.0,3.0,0,0,5,41,41,3.7376696182833684,0,2190,0,8,363.0,312.0,-322.0,1,41,2190,0.0,18.0,98,64.3296,2.7,3.5,104.0,99.0,98.0,76.75,104.0,130.70833333333334,173.0,121.54166666666667,167.0,2021-05,2021-05,103,104.45015650965415,-1.4501565096541498,1.4501565096541498,False
2021-05-05 04:00:00,20210505,112,120,117.0,False,False,False,False,False,True,True,4,3,0,1,0,0.0,3.0,0,0,5,312,312,5.746203190540153,0,2190,0,8,41.0,63.0,271.0,1,312,2190,0.0,18.1,98,64.50762,2.6,3.5,101.0,105.0,104.0,78.75,101.0,130.70833333333334,173.0,121.54166666666667,167.0,2021-05,2021-05,112,103.90026093433545,8.09973906566455,8.09973906566455,False
2021-05-05 05:00:00,20210505,88,97,97.0,False,False,False,False,False,True,True,5,3,0,1,0,0.0,3.0,0,0,5,63,63,4.1588830833596715,0,2190,0,8,312.0,233.0,-249.0,1,63,2190,0.0,17.6,98,63.61752,1.4,3.5,85.0,92.0,89.0,71.0,85.0,130.70833333333334,173.0,121.54166666666667,167.0,2021-05,2021-05,88,95.40293063969403,-7.402930639694034,7.402930639694034,False
2021-05-05 06:00:00,20210505,103,109,107.5,False,False,False,False,False,True,True,6,3,0,1,0,0.0,3.0,0,0,5,233,233,5.455321115357702,0,2190,0,8,63.0,1071.0,170.0,1,233,2190,0.0,16.3,79,60.954229999999995,1.7,3.5,111.0,109.0,106.0,83.25,111.0,130.70833333333334,173.0,121.54166666666667,167.0,2021-05,2021-05,103,107.60848975676511,-4.60848975676511,4.60848975676511,False
2021-05-05 07:00:00,20210505,63,92,94.5,False,False,False,False,False,True,True,7,3,0,1,0,0.0,3.0,0,1,5,1071,800,6.977281341630747,0,2190,0,8,233.0,0.0,838.0,1,1071,2190,0.0,15.5,68,59.565599999999996,2.7,3.5,126.0,115.0,122.0,102.0,126.0,130.70833333333334,173.0,121.54166666666667,167.0,2021-05,2021-05,63,113.87861546319986,-50.878615463199864,50.878615463199864,False
2021-05-05 08:00:00,20210505,21,21,24.0,False,False,False,False,False,True,True,8,3,0,1,0,0.0,3.0,2,0,5,0,0,0.0,1,2190,0,8,1071.0,0.0,-1071.0,1,0,2190,0.0,15.7,64,59.81252,2.8,3.5,171.0,164.0,163.0,170.5,171.0,130.70833333333334,173.0,121.54166666666667,167.0,2021-05,2021-05,21,113.58329009217113,-92.58329009217113,92.58329009217113,False
2021-05-05 09:00:00,20210505,21,21,21.0,False,False,False,False,False,True,True,9,3,0,1,0,0.0,3.0,2,0,5,0,0,0.0,1,2190,0,8,0.0,0.0,0.0,1,0,2190,0.0,17.4,55,62.003299999999996,3.0,3.5,168.0,160.0,153.0,167.5,168.0,130.70833333333334,173.0,121.54166666666667,167.0,2021-05,2021-05,21,113.94599782931569,-92.94599782931569,92.94599782931569,False
